[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | INFO: Tag[ route_check ] --START--
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | INFO: Run CheckRoute Behavior [ RunTime:0.000524s ]
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | INFO: Tag[ route_check ] --END-- [ RunTime:0.000592s ]
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | INFO: Tag[ app_begin ] --START--
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000315s ]
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000353s ]
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.002286s ]
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | SQL: SHOW COLUMNS FROM `czxy_roleadmin` [ RunTime:0.002396s ]
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8] Use of undefined constant czxy_ - assumed 'czxy_' Db.class.php(660) : regexp code 第 1 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | SQL: SELECT COUNT(*) AS tp_count FROM czxy_roleadmin a LEFT JOIN czxy_rolepri b ON b.rid=a.rid
                LEFT JOIN czxy_privilege c ON b.pid=c.id  WHERE ( a.aid = '2' ) AND ( c.modulename = 'Admin' ) AND ( c.controllername = 'Single' ) AND ( c.actionname = 'indexill' ) LIMIT 1   [ RunTime:0.000436s ]
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | SQL: SHOW COLUMNS FROM `czxy_illhistory` [ RunTime:0.002381s ]
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | SQL: SELECT * FROM `czxy_illhistory`  [ RunTime:0.000328s ]
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | INFO: Tag[ view_template ] --START--
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | INFO: Run LocationTemplate Behavior [ RunTime:0.000836s ]
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | INFO: Tag[ view_template ] --END-- [ RunTime:0.001025s ]
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | INFO: Tag[ view_parse ] --START--
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-01T17:06:25+08:00 ] /health/admin.php/Single/indexill | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
